prize,year,role,author,birth_year,book,age,posthumous
Booker,1976,winner,David Storey,1933,Saville,43,False
Booker,1976,nominee,Andre Brink,1935,An Instant in the Wind,41,False
Booker,1976,nominee,R.C. Hutchinson,1907,Rising,69,False
Booker,1976,nominee,Brian Moore,1921,The Doctor's Wife,55,False
Booker,1976,nominee,Julian Rathbone,1935,King Fisher Lives,41,False
Booker,1976,nominee,William Trevor,1928,The Children of Dynmouth,48,False
Booker,1977,winner,Paul Scott,1920,Staying On,57,False
Booker,1977,nominee,Paul Bailey,1937,Peter Smart's Confessions,40,False
Booker,1977,nominee,Caroline Blackwood,1931,Great Granny Webster,46,False
Booker,1977,nominee,Jennifer Johnston,1930,Shadows on Our Skin,47,False
Booker,1977,nominee,Penelope Lively,1933,The Road to Lichfield,44,False
Booker,1977,nominee,Barbara Pym,1913,Quartet in Autumn,64,False
Booker,1978,winner,Iris Murdoch,1919,"The Sea, the Sea",59,False
Booker,1978,nominee,Kingsley Amis,1922,Jake's Thing,56,False
Booker,1978,nominee,Andre Brink,1935,Rumours of Rain,43,False
Booker,1978,nominee,Penelope Fitzgerald,1916,The Bookshop,62,False
Booker,1978,nominee,Jane Gardam,1928,God on the Rocks,50,False
Booker,1978,nominee,Bernice Rubens,1923,A Five Year Sentence,55,False
Booker,1979,winner,Penelope Fitzgerald,1916,Offshore,63,False
Booker,1979,nominee,Thomas Keneally,1935,Confederates,44,False
Booker,1979,nominee,V.S. Naipaul,1932,A Bend in the River,47,False
Booker,1979,nominee,Julian Rathbone,1935,Joseph,44,False
Booker,1979,nominee,Fay Weldon,1931,Praxis,48,False
Booker,1980,winner,William Golding,1911,Rites of Passage,69,False
Booker,1980,nominee,Anthony Burgess,1917,Earthly Powers,63,False
Booker,1980,nominee,Anita Desai,1937,Clear Light of Day,43,False
Booker,1980,nominee,Alice Munro,1931,The Beggar Maid,49,False
Booker,1980,nominee,Julia O'Faolain,1932,No Country for Young Men,48,False
Booker,1980,nominee,Barry Unsworth,1930,Pascali's Island,50,False
Booker,1980,nominee,J.L. Carr,1912,A Month in the Country,68,False
Booker,1981,winner,Salman Rushdie,1947,Midnight's Children,34,False
Booker,1981,nominee,Molly Keane,1904,Good Behaviour,77,False
Booker,1981,nominee,Doris Lessing,1919,The Sirian Experiments,62,False
Booker,1981,nominee,Ian McEwan,1948,The Comfort of Strangers,33,False
Booker,1981,nominee,Ann Schlee,1934,Rhine Journey,47,False
Booker,1981,nominee,Muriel Spark,1918,Loitering with Intent,63,False
Booker,1981,nominee,D.M. Thomas,1935,The White Hotel,46,False
Booker,1982,winner,Thomas Keneally,1935,Schindler's Ark,47,False
Booker,1982,nominee,John Arden,1930,Silence Among the Weapons,52,False
Booker,1982,nominee,William Boyd,1952,An Ice-Cream War,30,False
Booker,1982,nominee,Lawrence Durrell,1912,Constance,70,False
Booker,1982,nominee,Alice Thomas Ellis,1932,The 27th Kingdom,50,False
Booker,1982,nominee,Timothy Mo,1950,Sour Sweet,32,False
Booker,1983,winner,J.M. Coetzee,1940,Life & Times of Michael K,43,False
Booker,1983,nominee,Malcolm Bradbury,1932,Rates of Exchange,51,False
Booker,1983,nominee,John Fuller,1937,Flying to Nowhere,46,False
Booker,1983,nominee,Anita Mason,1942,The Illusionist,41,False
Booker,1983,nominee,Salman Rushdie,1947,Shame,36,False
Booker,1983,nominee,Graham Swift,1949,Waterland,34,False
Booker,1984,winner,Anita Brookner,1928,Hotel du Lac,56,False
Booker,1984,nominee,J.G. Ballard,1930,Empire of the Sun,54,False
Booker,1984,nominee,Julian Barnes,1946,Flaubert's Parrot,38,False
Booker,1984,nominee,Anita Desai,1937,In Custody,47,False
Booker,1984,nominee,Penelope Lively,1933,According to Mark,51,False
Booker,1984,nominee,David Lodge,1935,Small World,49,False
Booker,1985,winner,Keri Hulme,1947,The Bone People,38,False
Booker,1985,nominee,Peter Carey,1943,Illywhacker,42,False
Booker,1985,nominee,J.L. Carr,1912,The Battle of Pollocks Crossing,73,False
Booker,1985,nominee,Doris Lessing,1919,The Good Terrorist,66,False
Booker,1985,nominee,Jan Morris,1926,Last Letters from Hav,59,False
Booker,1985,nominee,Iris Murdoch,1919,The Good Apprentice,66,False
Booker,1986,winner,Kingsley Amis,1922,The Old Devils,64,False
Booker,1986,nominee,Margaret Atwood,1939,The Handmaid's Tale,47,False
Booker,1986,nominee,Paul Bailey,1937,Gabriel's Lament,49,False
Booker,1986,nominee,Robertson Davies,1913,What's Bred in the Bone,73,False
Booker,1986,nominee,Kazuo Ishiguro,1954,An Artist of the Floating World,32,False
Booker,1986,nominee,Timothy Mo,1950,An Insular Possession,36,False
Booker,1987,winner,Penelope Lively,1933,Moon Tiger,54,False
Booker,1987,nominee,Chinua Achebe,1930,Anthills of the Savannah,57,False
Booker,1987,nominee,Peter Ackroyd,1949,Chatterton,38,False
Booker,1987,nominee,Nina Bawden,1925,Circles of Deceit,62,False
Booker,1987,nominee,Brian Moore,1921,The Colour of Blood,66,False
Booker,1987,nominee,Iris Murdoch,1919,The Book and the Brotherhood,68,False
Booker,1988,winner,Peter Carey,1943,Oscar and Lucinda,45,False
Booker,1988,nominee,Bruce Chatwin,1940,Utz,48,False
Booker,1988,nominee,Penelope Fitzgerald,1916,The Beginning of Spring,72,False
Booker,1988,nominee,David Lodge,1935,Nice Work,53,False
Booker,1988,nominee,Salman Rushdie,1947,The Satanic Verses,41,False
