player_id,long_name,short_name,nationality,height_cm,last_edition
231747,Kylian Mbappé Lottin,K. Mbappé,France,182,24
239085,Erling Braut Haaland,E. Haaland,Norway,195,24
192985,Kevin De Bruyne,K. De Bruyne,Belgium,181,24
158023,Lionel Andrés Messi Cuccittini,L. Messi,Argentina,169,24
165153,Karim Benzema,K. Benzema,France,185,24
188545,Robert Lewandowski,R. Lewandowski,Poland,185,24
192119,Thibaut Nicolas Marc Courtois,T. Courtois,Belgium,199,24
202126,Harry Kane,H. Kane,England,188,24
238794,Vinícius José Paixão de Oliveira Júnior,Vini Jr.,Brazil,176,24
212831,Alisson Ramsés Becker,Alisson,Brazil,193,24
231866,Rodrigo Hernández Cascante,Rodri,Spain,191,24
239818,Rúben dos Santos Gato Alves Dias,Rúben Dias,Portugal,187,24
190871,Neymar da Silva Santos Júnior,Neymar Jr,Brazil,175,24
192448,Marc-André ter Stegen,M. ter Stegen,Germany,187,24
200145,Carlos Henrique Venancio Casimiro,Casemiro,Brazil,185,24
203376,Virgil van Dijk,V. van Dijk,Netherlands,193,24
209331,Mohamed Salah Ghaly,M. Salah,Egypt,175,24
239053,Federico Santiago Valverde Dipetta,F. Valverde,Uruguay,182,24
232293,Victor James Osimhen,V. Osimhen,Nigeria,185,24
210257,Ederson Santana de Moraes,Ederson,Brazil,188,24
212622,Joshua Walter Kimmich,J. Kimmich,Germany,177,24
194765,Antoine Griezmann,A. Griezmann,France,176,24
200389,Jan Oblak,J. Oblak,Slovenia,188,24
212198,Bruno Miguel Borges Fernandes,Bruno Fernandes,Portugal,179,24
218667,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,Portugal,173,24
222665,Martin Ødegaard,M. Ødegaard,Norway,178,24
228702,Frenkie de Jong,F. de Jong,Netherlands,181,24
230621,Gianluigi Donnarumma,G. Donnarumma,Italy,196,24
231478,Lautaro Javier Martínez,L. Martínez,Argentina,174,24
235073,Gregor Kobel,G. Kobel,Switzerland,195,24
215698,Mike Maignan,M. Maignan,France,191,24
207865,Marcos Aoás Corrêa,Marquinhos,Brazil,183,24
167495,Manuel Peter Neuer,M. Neuer,Germany,193,24
177003,Luka Modrić,L. Modrić,Croatia,172,24
200104,손흥민 孙兴慜,H. Son,Korea Republic,183,24
