player_id,player,last_season,country_of_birth,city_of_birth,country_of_citizenship,foot,height_in_cm,highest_market_value_in_eur
532,Claudio Pizarro,2019,Peru,Callao,Peru,right,184.0,12000000.0
3333,James Milner,2024,England,Leeds,England,right,175.0,21000000.0
3455,Zlatan Ibrahimović,2022,Sweden,Malm,Sweden,right,195.0,46000000.0
4018,Daniel Baier,2019,Germany,Kln,Germany,right,176.0,3500000.0
5017,Niklas Moisander,2020,Finland,Turku,Finland,left,183.0,6500000.0
5303,Souleymane Camara,2019,Senegal,Dakar,Senegal,right,174.0,4000000.0
5348,Florent Balmont,2019,France,Sainte-Foy-ls-Lyon,France,right,168.0,6500000.0
5672,Étienne Didot,2018,France,Paimpol,France,right,175.0,7000000.0
5928,Sergio Pellissier,2018,Italy,Aosta,Italy,right,175.0,7000000.0
5947,Daniele De Rossi,2018,Italy,Roma,Italy,both,184.0,38000000.0
6636,Christian Fuchs,2020,Austria,Neunkirchen,Austria,left,187.0,7500000.0
7101,Paolo Sammarco,2018,Italy,Como,Italy,right,181.0,6500000.0
7161,Jonas Hofmann,2024,Germany,Heidelberg,Germany,right,176.0,16000000.0
7512,Borja Fernández,2018,Spain,Ourense,Spain,right,189.0,3000000.0
7663,Joaquín,2022,Spain,El Puerto de Santa Mara,Spain,right,181.0,28000000.0
7922,Sergio García,2018,Spain,Barcelona,Spain,right,174.0,9000000.0
7971,Salomon Kalou,2019,Cote d'Ivoire,Oum,Cote d'Ivoire,right,184.0,15000000.0
8198,Cristiano Ronaldo,2022,Portugal,Funchal,Portugal,right,187.0,120000000.0
8806,Cesc Fàbregas,2021,Spain,Arenys de Mar,Spain,right,179.0,55000000.0
10003,Wes Morgan,2020,England,Nottingham,Jamaica,right,185.0,3500000.0
10503,Uwe Hünemeier,2019,Germany,Rietberg,Germany,right,189.0,2250000.0
11111,Ramiro Funes Mori,2020,Argentina,Mendoza,Argentina,left,187.0,12000000.0
11268,Oliver Fink,2019,Germany,Hirschau,Germany,right,187.0,1250000.0
12249,Éver Banega,2019,Argentina,Rosario,Argentina,right,174.0,20000000.0
12282,Daley Blind,2024,Netherlands,Amsterdam,Netherlands,left,180.0,25000000.0
12384,Alexander Tettey,2019,Ghana,Accra,Norway,right,181.0,4000000.0
12563,Goran Pandev,2021,Jugoslawien (SFR),Strumica,North Macedonia,left,184.0,18000000.0
13507,Leighton Baines,2019,England,Kirkby,England,left,170.0,22000000.0
13572,Ben Foster,2021,England,Leamington Spa,England,left,193.0,5500000.0
13573,Simon Francis,2019,England,Nottingham,England,right,191.0,2500000.0
13959,Igor,2015,Brazil,Macei,Portugal,right,190.0,500000.0
14086,Ashley Young,2024,England,Stevenage,England,both,175.0,27000000.0
14221,Aaron Lennon,2021,England,Chapeltown,England,right,165.0,21000000.0
14533,Pirmin Schwegler,2018,Switzerland,Ettiswil,Switzerland,right,178.0,6000000.0
14942,Darijo Srna,2018,Jugoslawien (SFR),Metkovi,Croatia,right,182.0,17500000.0
15338,Fernando,2014,Brazil,Anita Garibaldi,Brazil,right,192.0,8500000.0
15773,Phil Bardsley,2021,England,Salford,Scotland,right,180.0,6000000.0
15799,Santi Cazorla,2019,Spain,Lugo de Llanera,Spain,both,168.0,30000000.0
15951,Dani Alves,2021,Brazil,Juazeiro,Brazil,right,172.0,36000000.0
15956,Jesús Navas,2023,Spain,Los Palacios y Villafranca,Spain,right,170.0,30000000.0
16136,Dante,2024,Brazil,Salvador da Bahia,Brazil,left,188.0,17000000.0
16306,Casemiro,2024,Brazil,So Jos dos Campos,Brazil,right,185.0,80000000.0
16311,Rouwen Hennings,2019,Germany,Bad Oldesloe,Germany,left,180.0,2500000.0
16335,Charles,2019,Brazil,Rio de Janeiro,Brazil,right,175.0,3200000.0
16631,Ignazio Abate,2018,Italy,Sant'Agata d Goti,Italy,right,180.0,14000000.0
16831,Ken Reichel,2019,Germany,Berlin,Germany,left,185.0,1500000.0
16873,Claudio Terzi,2020,Italy,Milano,Italy,right,180.0,1500000.0
16922,Kevin-Prince Boateng,2022,Germany,Berlin,Ghana,right,186.0,23000000.0
17127,Felipe,2019,Brazil,Guaratinguet,Brazil,left,188.0,6500000.0
18644,Álvaro Negredo,2023,Spain,Madrid,Spain,left,186.0,27000000.0
18900,Hatem Ben Arfa,2021,France,Clamart,France,left,179.0,14000000.0
18909,Jimmy Briand,2021,France,Vitry-sur-Seine,France,right,181.0,9000000.0
18918,Per Ciljan Skjelbred,2019,Norway,Trondheim,Norway,right,175.0,4000000.0
18922,Karim Benzema,2022,France,Lyon,France,right,185.0,60000000.0
18934,Thomas Mangani,2022,France,Carpentras,France,left,183.0,3500000.0
18944,Gerard Piqué,2022,Spain,Barcelona,Spain,right,194.0,50000000.0
19112,Christian Gentner,2020,Germany,Nrtingen,Germany,right,189.0,7500000.0
19305,Oscar Wendt,2020,Sweden,Gteborg,Sweden,left,181.0,4500000.0
19354,Dennis Aogo,2018,Germany,Karlsruhe,Germany,left,184.0,8000000.0
19447,Giampaolo Pazzini,2019,Italy,Pescia,Italy,right,180.0,21000000.0
19819,Raffael,2019,Brazil,Fortaleza,Brazil,right,174.0,10000000.0
20005,Papu Gómez,2023,Argentina,Buenos Aires,Argentina,right,167.0,18000000.0
20007,Pablo Zabaleta,2019,Argentina,Buenos Aires,Argentina,right,176.0,19000000.0
20081,Gelson Fernandes,2019,Cape Verde,Praia,Switzerland,right,180.0,6500000.0
20463,Corentin Jean,2021,France,Blois,France,right,170.0,4000000.0
20506,Andrés Guardado,2023,Mexico,Guadalajara,Mexico,left,167.0,12000000.0
20778,Adam Bodzek,2019,Poland,Zabrze,Poland,right,184.0,1750000.0
21725,Filipe Luís,2018,Brazil,Jaragu do Sul,Brazil,left,182.0,25000000.0
21763,Federico Peluso,2021,Italy,Roma,Italy,left,188.0,5000000.0
