season,club,player,height,minutes,height_match
2021-22,Arsenal,Bernd Leno,189,360,full
2021-22,Arsenal,Rúnar Alex Rúnarsson,186,0,full
2021-22,Arsenal,Willian Borges Da Silva,175,0,full
2021-22,Arsenal,Pierre-Emerick Aubameyang,187,1036,full
2021-22,Arsenal,Cédric Soares,171,1481,full
2021-22,Arsenal,Alexandre Lacazette,175,1773,full
2021-22,Arsenal,Granit Xhaka,185,2327,full
2021-22,Arsenal,Pablo Marí,193,180,full
2021-22,Arsenal,Héctor Bellerín,178,0,full
2021-22,Arsenal,Sead Kolasinac,183,91,full
2021-22,Arsenal,Mohamed Naser El Sayed Elneny,179,801,initial+lasttoken
2021-22,Arsenal,Ainsley Maitland-Niles,177,263,surname+initial
2021-22,Arsenal,Rob Holding,189,840,full
2021-22,Arsenal,Thomas Partey,185,2027,full
2021-22,Arsenal,Kieran Tierney,180,1916,full
2021-22,Arsenal,Nicolas Pépé,183,681,full
2021-22,Arsenal,Lucas Torreira,166,0,surname+initial
2021-22,Arsenal,Edward Nketiah,180,823,full
2021-22,Arsenal,Emile Smith Rowe,182,1909,full
2021-22,Arsenal,Bukayo Saka,178,2978,full
2021-22,Arsenal,Gabriel Magalhães,190,3063,full
2021-22,Arsenal,Konstantinos Mavropanos,194,0,full
2021-22,Arsenal,Mattéo Guendouzi,185,0,surname+initial
2021-22,Arsenal,Gabriel Teodoro Martinelli Silva,178,1855,full
2021-22,Arsenal,William Saliba,192,0,full
2021-22,Arsenal,Ben White,186,2880,full
2021-22,Arsenal,Nuno Varela Tavares,184,1169,initial+lasttoken
2021-22,Arsenal,Albert Sambi Lokonga,183,1129,full
2021-22,Arsenal,Folarin Balogun,178,69,full
2021-22,Arsenal,Reiss Nelson,175,19,full
2021-22,Arsenal,Karl Hein,193,0,surname+initial
2021-22,Arsenal,Martin Ødegaard,178,2782,full
2021-22,Arsenal,Aaron Ramsdale,191,3060,full
2021-22,Arsenal,Arthur Okonkwo,196,0,full
2021-22,Arsenal,Takehiro Tomiyasu,188,1680,full
2021-22,Arsenal,Charlie Patino,182,0,full
2021-22,Arsenal,Omari Hutchinson,174,0,full
2021-22,Arsenal,Salah-Eddine Oulad M'hand,177,0,full
2021-22,Arsenal,Mika Biereth,187,0,full
2021-22,Arsenal,Ryan Alebiosu,188,0,surname+initial
2021-22,Arsenal,Zach Awe,,0,UNMATCHED
2021-22,Arsenal,Zak Swanson,189,0,surname+initial
2021-22,Arsenal,Mazeed Ogungbo,188,0,full
2021-22,Arsenal,Marcelo Flores,163,0,full
2021-22,Arsenal,Miguel Azeez,180,0,full
2021-22,Arsenal,Alex Kirk,,0,UNMATCHED
2021-22,Aston Villa,Calum Chambers,182,999,full
2021-22,Aston Villa,Jed Steer,183,90,full
2021-22,Aston Villa,Conor Hourihane,180,0,full
2021-22,Aston Villa,Emiliano Martínez,195,3240,full
2021-22,Aston Villa,Björn Engels,195,0,full
2021-22,Aston Villa,Bertrand Traoré,181,212,surname+initial
2021-22,Aston Villa,Morgan Sanson,180,349,full
2021-22,Aston Villa,John McGinn,178,3090,full
2021-22,Aston Villa,Kortney Hause,191,397,full
2021-22,Aston Villa,Mahmoud Ahmed Ibrahim Hassan,180,10,full
2021-22,Aston Villa,Tyrone Mings,196,3188,full
2021-22,Aston Villa,Ollie Watkins,180,2950,full
2021-22,Aston Villa,Marvelous Nakamba,178,899,full
2021-22,Aston Villa,Emiliano Buendía Stati,172,1887,alias
2021-22,Aston Villa,Matthew Cash,185,3377,surname+initial
2021-22,Aston Villa,Ezri Konsa Ngoyo,183,2477,full
2021-22,Aston Villa,Frédéric Guilbert,178,0,full
2021-22,Aston Villa,Wesley Moraes,191,1,full
2021-22,Aston Villa,Mbwana Ally Samatta,183,0,full
2021-22,Aston Villa,Keinan Davis,191,11,full
2021-22,Aston Villa,Douglas Luiz Soares de Paulo,175,2715,full
2021-22,Aston Villa,Jacob Ramsey,180,2465,full
2021-22,Aston Villa,Ashley Young,175,1234,full
2021-22,Aston Villa,Lucas Digne,178,2440,full
2021-22,Aston Villa,Danny Ings,177,1891,full
2021-22,Aston Villa,Leon Bailey,178,750,full
2021-22,Aston Villa,Aaron Ramsey,183,0,surname+initial
2021-22,Aston Villa,Jaden Philogene-Bidace,179,4,full
2021-22,Aston Villa,Carney Chukwuemeka,188,291,full
2021-22,Aston Villa,Cameron Archer,176,24,full
2021-22,Aston Villa,Viljami Sinisalo,196,0,full
2021-22,Aston Villa,Lamare Bogarde,183,0,full
2021-22,Aston Villa,Tim Iroegbunam,183,90,full
2021-22,Aston Villa,Filip Marschall,195,0,full
2021-22,Aston Villa,Josh Feeney,194,0,surname+initial
2021-22,Aston Villa,Philippe Coutinho Correia,172,1327,full
2021-22,Aston Villa,Kaine Hayden,175,0,initial+lasttoken
2021-22,Aston Villa,Robin Olsen,198,90,surname+initial
2021-22,Aston Villa,Benjamin Chrisene,183,0,full
2021-22,Aston Villa,Tommi O'Reilly,170,0,full
2021-22,Brentford,Pontus Jansson,194,3321,full
2021-22,Brentford,Christian Nørgaard,187,3054,full
2021-22,Brentford,Ivan Toney,187,2908,full
